,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
75,235.689,447.7,4.960846701924985
76,236.074,450.0,6.082762530298219
77,236.459,449.4,3.9547439866570375
78,236.844,450.9,6.977822009767804
79,237.229,450.1,5.80430874437258
80,237.614,448.9,6.487680633323437
81,237.999,448.4,6.945502141674134
82,238.384,447.0,4.404543109109048
83,238.77,450.9,6.441273166075166
84,239.155,449.9,5.85576638878294
85,239.54,450.5,5.352569476429054
86,239.926,450.0,6.387487769068525
87,240.311,453.4,5.4626001134990645
88,240.696,448.1,8.619164692706596
89,241.082,452.5,5.277309920783504
90,241.467,448.1,3.8845849199110063
91,241.853,447.6,4.31740662898458
92,242.239,449.5,6.726812023536855
93,242.624,452.9,7.091544260596558
94,243.01,452.3,3.579106033634656
95,243.396,448.5,5.06458290484024
96,243.782,446.8,6.794115100585211
97,244.167,451.0,5.196152422706632
98,244.553,449.2,7.652450587883596
99,244.939,451.3,7.937883848986455
100,245.325,453.6,5.6956123463592565
101,245.711,451.1,6.378871373526824
102,246.098,450.2,7.6262703859750465
103,246.484,451.4,6.945502141674134
104,246.87,451.1,7.751773990513397
105,247.256,454.0,7.238784428341543
106,247.642,448.8,5.8275209137333865
107,248.029,454.2,7.096477999684069
108,248.415,454.9,7.006425622241343
109,248.802,452.0,4.979959839195493
110,249.188,450.1,7.2862884927787475
111,249.575,448.5,7.632168761236874
112,249.961,447.1,5.8728187440104085
113,250.348,451.6,7.08801805866774
114,250.735,451.3,6.229767250869008
115,251.121,451.0,4.024922359499621
116,251.508,449.8,4.66476151587624
117,251.895,449.7,4.196427051671457
118,252.282,450.4,3.6386810797320503
119,252.669,451.6,3.5552777669262356
120,253.056,455.1,5.204805471869241
121,253.443,451.4,5.083306010855534
122,253.83,454.3,6.435060217278468
123,254.217,452.8,6.04648658313239
124,254.604,453.6,5.885575587824864
125,254.991,449.7,4.859012245302536
126,255.378,452.8,5.015974481593781
127,255.766,448.2,5.546169849544818
128,256.153,449.7,5.9169248769948055
129,256.541,453.5,4.177319714841085
130,256.928,455.2,4.556314299957807
131,257.315,453.9,5.821511831131154
132,257.703,451.3,3.257299494980466
133,258.091,453.5,4.364630568559039
134,258.478,455.4,6.711184694225007
135,258.866,453.7,6.388270501473777
136,259.254,452.2,7.79487010796203
137,259.641,453.3,8.832326986700618
138,260.029,451.7,4.495553358597804
139,260.417,452.6,5.834380858325928
140,260.805,451.3,3.7960505792204615
141,261.193,450.1,5.048762224545735
142,261.581,452.4,4.029888335921977
143,261.969,449.0,5.019960159204453
144,262.357,449.3,5.568662316930341
145,262.745,452.3,5.1000000000000005
146,263.134,449.5,5.239274758971894
147,263.522,450.0,5.310367218940701
148,263.91,450.9,6.441273166075166
149,264.299,451.1,7.368174807915457
150,264.687,450.7,5.866003750424986
151,265.076,450.5,5.987486951969082
152,265.464,450.3,6.325345840347388
153,265.853,453.5,7.762087348130012
154,266.241,449.9,5.699999999999999
155,266.63,453.5,4.631414470763764
156,267.019,450.1,4.459820624195551
157,267.407,451.4,4.176122603564219
158,267.796,448.5,5.277309920783504
159,268.185,451.6,6.135144660071187
160,268.574,450.3,8.922443611477744
161,268.963,452.4,7.605261336732617
162,269.352,451.6,8.2365041127896
163,269.741,446.1,3.5623026261113755
164,270.13,446.7,4.026164427839479
165,270.519,449.6,7.578918128598566
166,270.908,450.0,6.723094525588644
167,271.297,448.9,5.262128846769148
168,271.687,452.4,6.873136110975833
169,272.076,451.9,6.4567793829431706
170,272.465,451.4,5.817215828899594
171,272.855,450.3,4.360045871318328
172,273.244,448.8,7.87146746166177
173,273.634,451.7,6.450581369148057
174,274.023,452.9,8.50235261559999
175,274.413,455.3,6.679071791798619
176,274.803,446.2,6.939740629158989
177,275.192,447.2,5.99666574022598
178,275.582,449.9,6.139218191268331
179,275.972,448.5,8.605230967266364
180,276.362,453.3,6.588626564011654
181,276.752,448.7,5.950630218724737
182,277.141,452.7,4.920365840057017
183,277.531,445.0,4.959838707054898
184,277.922,451.9,5.356304696336831
185,278.312,448.7,8.062877898120497
186,278.702,448.4,4.715930449020639
187,279.092,452.1,8.324061508662703
188,279.482,445.7,6.542935121182236
189,279.872,448.5,7.459892760623306
190,280.263,453.3,4.817675788178361
191,280.653,452.7,6.634003316248795
192,281.044,454.7,3.74299345444258
193,281.434,450.8,7.110555533852471
194,281.825,452.3,4.473253849269008
195,282.215,451.4,8.260750571225353
196,282.606,450.1,5.028916384272062
197,282.996,446.7,5.020956084253276
198,283.387,450.0,8.12403840463596
199,283.778,452.5,8.464632301523794
200,284.169,448.0,4.049691346263317
201,284.56,449.6,5.295280917949491
202,284.95,452.8,2.6
203,285.341,452.8,6.523802572120036
204,285.732,448.5,6.469157595854347
205,286.123,451.0,7.05691150575094
206,286.515,450.9,5.593746508378798
207,286.906,450.8,3.7363083384538807
208,287.297,451.6,8.2
209,287.688,444.9,2.3853720883753127
210,288.079,449.8,6.462197768561405
211,288.471,449.8,4.6
212,288.862,450.2,4.093897898091744
213,289.254,451.9,5.85576638878294
214,289.645,448.7,5.330103188494572
215,290.037,450.6,8.309031231136395
216,290.428,448.2,5.114684741017769
217,290.82,448.1,4.060788100849391
218,291.212,447.6,5.571355310873646
219,291.603,447.0,5.848076606885378
220,291.995,449.6,5.141984052872975
221,292.387,449.0,4.878524367060187
222,292.779,451.4,8.627861844049196
223,293.171,450.5,5.481788029466299
224,293.563,450.8,5.946427498927402
225,293.955,451.1,6.685057965343307
226,294.347,450.4,5.219195340279955
227,294.739,449.1,4.699999999999999
228,295.131,452.0,6.767569726275452
229,295.523,448.0,4.6475800154489
230,295.915,448.5,5.6964901474504455
231,296.308,451.9,5.356304696336831
232,296.7,450.7,7.085901495222751
233,297.092,452.4,4.943682837723309
234,297.485,453.4,3.0724582991474434
235,297.877,449.1,3.477067730142742
236,298.27,449.6,6.499230723708767
237,298.662,452.9,6.609841147864295
238,299.055,449.0,4.898979485566356
239,299.448,450.1,6.073713855624085
240,299.841,451.4,7.578918128598566
241,300.233,448.8,6.128621378417825
242,300.626,451.2,4.64327470649756
243,301.019,449.8,5.268775948927796
244,301.412,449.3,8.438601779915913
245,301.805,450.4,6.7409198185410855
246,302.198,449.7,5.0408332644514235
247,302.591,447.2,6.9397406291589885
248,302.984,449.5,5.277309920783504
249,303.377,452.9,4.392038251199549
250,303.77,449.8,6.046486583132388
251,304.164,451.3,6.419501538281613
252,304.557,452.7,5.710516614107695
253,304.95,446.9,5.185556864985668
254,305.344,451.0,4.795831523312719
255,305.737,452.2,7.263607918933951
256,306.131,450.7,7.9
257,306.524,450.0,6.603029607687671
258,306.918,452.4,7.735631842325486
259,307.312,447.2,4.791659420284375
260,307.705,447.1,5.557877292636101
261,308.099,445.8,7.413501197140255
262,308.493,448.6,8.2365041127896
263,308.887,449.4,6.1514225996918785
264,309.281,445.3,5.586591089385369
265,309.674,451.3,6.067124524847006
266,310.068,449.7,6.261788881781308
267,310.462,446.4,8.569714114251418
268,310.857,452.4,4.983974317750844
269,311.251,445.6,5.29528091794949
270,311.645,448.6,6.575712889109438
271,312.039,448.4,8.404760555780276
272,312.433,447.8,7.573638491504594
273,312.828,451.9,7.8160092118676525
274,313.222,443.6,3.5552777669262356
275,313.616,447.1,4.784349485562274
276,314.011,443.1,7.244998274671982
277,314.405,448.3,5.348831648126533
278,314.8,449.3,6.512296062065975
279,315.195,445.4,6.590902821313631
280,315.589,447.7,6.083584469702053
281,315.984,450.1,8.584287972802402
282,316.379,445.4,5.122499389946278
283,316.773,450.8,5.2115256883181535
284,317.168,446.0,7.0710678118654755
285,317.563,451.9,6.220128616033595
286,317.958,443.0,6.723094525588644
287,318.353,446.1,8.03056660516554
288,318.748,447.5,5.333854141237834
289,319.143,450.6,7.499333303701069
290,319.538,443.9,4.90815647672321
291,319.934,446.3,4.817675788178362
292,320.329,449.8,6.20966987850401
293,320.724,445.8,5.878775382679627
294,321.119,452.2,5.758472019555188
295,321.515,450.6,6.529931086925803
296,321.91,444.7,6.419501538281614
297,322.306,444.9,6.80367547726962
298,322.701,451.0,5.830951894845301
299,323.097,451.1,3.7802116342871597
300,323.492,449.8,4.915282290977803
301,323.888,445.0,1.9493588689617927
302,324.284,447.7,7.590125163658371
303,324.679,448.1,7.091544260596558
304,325.075,448.8,5.528109984434102
305,325.471,448.9,6.549045732013175
306,325.867,446.5,6.682065548915245
307,326.263,451.4,5.919459434779496
308,326.659,446.7,5.797413216254299
309,327.055,447.0,5.477225575051661
310,327.451,451.7,4.1
311,327.847,451.5,6.18465843842649
312,328.243,448.2,5.455272678794342
313,328.64,446.8,6.925315877272314
314,329.036,448.5,5.518151864528558
315,329.432,450.3,4.775981574503821
316,329.829,450.8,8.37615663654877
317,330.225,447.8,7.573638491504594
318,330.622,446.2,4.621688003316537
319,331.018,450.9,7.189575787207476
320,331.415,447.7,6.017474553332153
321,331.811,449.9,5.957348403442592
322,332.208,448.5,5.937171043518958
323,332.605,447.4,3.8262252939417984
324,333.001,447.2,6.968500556073738
325,333.398,450.5,6.946221994724902
326,333.795,450.1,5.262128846769148
327,334.192,449.8,5.653317610041028
328,334.589,449.3,6.6189122973491665
329,334.986,451.9,9.720596689504198
330,335.383,446.8,3.249615361854384
331,335.78,452.3,8.17373843476778
332,336.177,447.4,6.575712889109438
333,336.574,445.9,8.525843066817497
334,336.972,449.3,7.267048919609667
335,337.369,446.5,4.588027898781785
336,337.766,446.9,6.579513659838391
337,338.164,453.4,4.103656905736638
338,338.561,449.6,6.545227268781428
339,338.959,451.6,4.820788317277579
340,339.356,451.8,4.534313619501853
341,339.754,449.4,7.787168933572714
342,340.151,448.0,5.0
343,340.549,448.9,6.171709649683789
344,340.947,450.5,6.974955196988724
345,341.344,449.0,8.099382692526634
346,341.742,448.9,7.091544260596559
347,342.14,449.8,3.429285639896449
348,342.538,445.5,6.711929677819934
349,342.936,451.9,5.593746508378798
350,343.334,449.4,6.529931086925802
351,343.732,446.1,5.008991914547277
352,344.13,452.3,7.6032887621081455
353,344.528,448.6,5.71314274283428
354,344.926,450.4,5.0635955604688645
355,345.325,448.3,5.568662316930341
356,345.723,445.3,4.69148164229596
357,346.121,448.4,5.902541825349482
358,346.52,450.0,8.19756061276768
359,346.918,449.4,6.327716807822549
360,347.317,450.4,7.657675887630659
361,347.715,449.6,3.52703841770968
362,348.114,448.6,5.3516352641038605
363,348.512,450.4,4.862098312457287
364,348.911,448.0,5.385164807134504
365,349.31,452.5,5.80086200490927
366,349.709,448.9,6.171709649683789
