z_target_um,TOD_fs3,GVD,n_protons
99.99999999999964,0.0,13.2,23280367819.484795
99.99999999999964,0.0,13.2,19027457661.195526
99.99999999999964,0.0,13.2,24227941878.31922
99.99999999999964,0.0,13.2,19254832966.206223
99.99999999999964,0.0,13.2,37481144604.037254
99.99999999999964,0.0,13.25,22910259824.2864
99.99999999999964,0.0,13.25,25491372549.797848
99.99999999999964,0.0,13.25,22880423391.59487
99.99999999999964,0.0,13.25,19571483997.258972
99.99999999999964,0.0,13.25,20312721848.350258
99.99999999999964,0.0,13.3,22535219416.03115
99.99999999999964,0.0,13.3,23156923897.963596
99.99999999999964,0.0,13.3,23835933639.72463
99.99999999999964,0.0,13.3,20183689192.10018
99.99999999999964,0.0,13.3,22442911710.24146
99.99999999999964,0.0,13.35,23931365454.382473
99.99999999999964,0.0,13.35,18145782124.496902
99.99999999999964,0.0,13.35,20723215571.990013
99.99999999999964,0.0,13.35,24340884238.344902
99.99999999999964,0.0,13.35,21298361459.91475
99.99999999999964,0.0,13.4,15942084757.65367
99.99999999999964,0.0,13.4,23469018587.388226
99.99999999999964,0.0,13.4,22356568285.053894
99.99999999999964,0.0,13.4,27227182197.92621
99.99999999999964,0.0,13.4,20318291552.601746
99.99999999999964,0.0,13.45,20188396057.34409
99.99999999999964,0.0,13.45,23317873851.917744
99.99999999999964,0.0,13.45,21303903206.441364
99.99999999999964,0.0,13.45,18565558011.453873
99.99999999999964,0.0,13.45,17551671371.84352
99.99999999999964,0.0,13.5,19640711991.892193
99.99999999999964,0.0,13.5,18750729520.364986
99.99999999999964,0.0,13.5,19533407227.576138
99.99999999999964,0.0,13.5,20207421947.308563
99.99999999999964,0.0,13.5,22642217811.703392
99.99999999999964,0.0,13.55,23591737957.532066
99.99999999999964,0.0,13.55,19116360513.97724
99.99999999999964,0.0,13.55,20755671043.35535
99.99999999999964,0.0,13.55,20504071788.84858
99.99999999999964,0.0,13.55,116418131.41657312
99.99999999999964,0.0,13.6,21540544752.92453
99.99999999999964,0.0,13.6,22062347488.19517
99.99999999999964,0.0,13.6,22749938192.181366
99.99999999999964,0.0,13.6,24282909130.80596
99.99999999999964,0.0,13.6,21196879974.894085
99.99999999999964,0.0,13.65,22151562302.02033
99.99999999999964,0.0,13.65,21701034834.128017
99.99999999999964,0.0,13.65,17686679133.00599
99.99999999999964,0.0,13.65,23847642503.31541
99.99999999999964,0.0,13.65,21929211206.247406
99.99999999999964,0.0,13.7,20281530732.763462
99.99999999999964,0.0,13.7,28704001013.125042
99.99999999999964,0.0,13.7,26115631894.943054
99.99999999999964,0.0,13.7,20109474288.601955
99.99999999999964,0.0,13.7,24799509920.66953
99.99999999999964,0.0,13.75,27715413241.721844
99.99999999999964,0.0,13.75,21978092255.537098
99.99999999999964,0.0,13.75,21805927509.528263
99.99999999999964,0.0,13.75,28176497566.21618
99.99999999999964,0.0,13.75,22951208857.245564
99.99999999999964,0.0,13.8,32222881670.553787
99.99999999999964,0.0,13.8,28406072252.784836
99.99999999999964,0.0,13.8,20862550196.74076
99.99999999999964,0.0,13.8,27080866927.382698
99.99999999999964,0.0,13.8,32440003276.940308
99.99999999999964,0.0,13.85,22286724413.682682
99.99999999999964,0.0,13.85,25571612185.393486
99.99999999999964,0.0,13.85,27272560986.537975
99.99999999999964,0.0,13.85,21724551716.529087
99.99999999999964,0.0,13.85,30851196714.51642
99.99999999999964,0.0,13.9,30230415360.62901
99.99999999999964,0.0,13.9,23735976988.477226
99.99999999999964,0.0,13.9,24722729841.216175
99.99999999999964,0.0,13.9,28554075582.256283
99.99999999999964,0.0,13.9,21930938531.157524
99.99999999999964,0.0,13.95,24674806136.47854
99.99999999999964,0.0,13.95,29273416447.67666
99.99999999999964,0.0,13.95,25921890902.234512
99.99999999999964,0.0,13.95,25694106150.30493
99.99999999999964,0.0,13.95,25605259636.344604
99.99999999999964,0.0,14.0,18998939998.90556
99.99999999999964,0.0,14.0,24941669091.695183
99.99999999999964,0.0,14.0,31855805560.656258
99.99999999999964,0.0,14.0,24641825729.865852
99.99999999999964,0.0,14.0,25575452949.051403
99.99999999999964,-80000.0,13.6,25689787380.98471
99.99999999999964,-80000.0,13.6,26597232608.861595
99.99999999999964,-80000.0,13.6,20493804073.09785
99.99999999999964,-80000.0,13.6,22561664177.818287
99.99999999999964,-80000.0,13.6,29469603476.462414
99.99999999999964,-70000.0,13.6,28447077067.026596
99.99999999999964,-70000.0,13.6,25763135548.382156
99.99999999999964,-70000.0,13.6,15956774184.39421
99.99999999999964,-70000.0,13.6,25986529689.11262
99.99999999999964,-70000.0,13.6,23184410906.129814
99.99999999999964,-60000.0,13.6,18748329111.998768
