,Unnamed: 0,z_target_um,TOD_fs3,GVD,n_protons
0,0,99.99999999999964,0.0,13.2,23280367819.484795
1,1,99.99999999999964,0.0,13.2,19027457661.195526
2,2,99.99999999999964,0.0,13.2,24227941878.31922
3,3,99.99999999999964,0.0,13.2,19254832966.206223
4,4,99.99999999999964,0.0,13.2,37481144604.037254
5,5,99.99999999999964,0.0,13.25,22910259824.2864
6,6,99.99999999999964,0.0,13.25,25491372549.797848
7,7,99.99999999999964,0.0,13.25,22880423391.59487
8,8,99.99999999999964,0.0,13.25,19571483997.258972
9,9,99.99999999999964,0.0,13.25,20312721848.350258
10,10,99.99999999999964,0.0,13.3,22535219416.03115
11,11,99.99999999999964,0.0,13.3,23156923897.963596
12,12,99.99999999999964,0.0,13.3,23835933639.72463
13,13,99.99999999999964,0.0,13.3,20183689192.10018
14,14,99.99999999999964,0.0,13.3,22442911710.24146
15,15,99.99999999999964,0.0,13.35,23931365454.382473
16,16,99.99999999999964,0.0,13.35,18145782124.496902
17,17,99.99999999999964,0.0,13.35,20723215571.990013
18,18,99.99999999999964,0.0,13.35,24340884238.344906
19,19,99.99999999999964,0.0,13.35,21298361459.91475
20,20,99.99999999999964,0.0,13.4,15942084757.65367
21,21,99.99999999999964,0.0,13.4,23469018587.388226
22,22,99.99999999999964,0.0,13.4,22356568285.053898
23,23,99.99999999999964,0.0,13.4,27227182197.92621
24,24,99.99999999999964,0.0,13.4,20318291552.601746
25,25,99.99999999999964,0.0,13.45,20188396057.34409
26,26,99.99999999999964,0.0,13.45,23317873851.917744
27,27,99.99999999999964,0.0,13.45,21303903206.441364
28,28,99.99999999999964,0.0,13.45,18565558011.453873
29,29,99.99999999999964,0.0,13.45,17551671371.84352
30,30,99.99999999999964,0.0,13.5,19640711991.892193
31,31,99.99999999999964,0.0,13.5,18750729520.364983
32,32,99.99999999999964,0.0,13.5,19533407227.576138
33,33,99.99999999999964,0.0,13.5,20207421947.308563
34,34,99.99999999999964,0.0,13.5,22642217811.703392
35,35,99.99999999999964,0.0,13.55,23591737957.532063
36,36,99.99999999999964,0.0,13.55,19116360513.97724
37,37,99.99999999999964,0.0,13.55,20755671043.35535
38,38,99.99999999999964,0.0,13.55,20504071788.84858
39,39,99.99999999999964,0.0,13.55,116418131.41657312
40,40,99.99999999999964,0.0,13.6,21540544752.92453
41,41,99.99999999999964,0.0,13.6,22062347488.19517
42,42,99.99999999999964,0.0,13.6,22749938192.18137
43,43,99.99999999999964,0.0,13.6,24282909130.80596
44,44,99.99999999999964,0.0,13.6,21196879974.894085
45,45,99.99999999999964,0.0,13.65,22151562302.02033
46,46,99.99999999999964,0.0,13.65,21701034834.128017
47,47,99.99999999999964,0.0,13.65,17686679133.00599
48,48,99.99999999999964,0.0,13.65,23847642503.31541
49,49,99.99999999999964,0.0,13.65,21929211206.24741
50,50,99.99999999999964,0.0,13.7,20281530732.763466
51,51,99.99999999999964,0.0,13.7,28704001013.12504
52,52,99.99999999999964,0.0,13.7,26115631894.943054
53,53,99.99999999999964,0.0,13.7,20109474288.601955
54,54,99.99999999999964,0.0,13.7,24799509920.66953
55,55,99.99999999999964,0.0,13.75,27715413241.721844
56,56,99.99999999999964,0.0,13.75,21978092255.537094
57,57,99.99999999999964,0.0,13.75,21805927509.528263
58,58,99.99999999999964,0.0,13.75,28176497566.21618
59,59,99.99999999999964,0.0,13.75,22951208857.245564
60,60,99.99999999999964,0.0,13.8,32222881670.553787
61,61,99.99999999999964,0.0,13.8,28406072252.784836
62,62,99.99999999999964,0.0,13.8,20862550196.74076
63,63,99.99999999999964,0.0,13.8,27080866927.382694
64,64,99.99999999999964,0.0,13.8,32440003276.940308
65,65,99.99999999999964,0.0,13.85,22286724413.68268
66,66,99.99999999999964,0.0,13.85,25571612185.39349
67,67,99.99999999999964,0.0,13.85,27272560986.537975
68,68,99.99999999999964,0.0,13.85,21724551716.529087
69,69,99.99999999999964,0.0,13.85,30851196714.51642
70,70,99.99999999999964,0.0,13.9,30230415360.62901
71,71,99.99999999999964,0.0,13.9,23735976988.477222
72,72,99.99999999999964,0.0,13.9,24722729841.216175
73,73,99.99999999999964,0.0,13.9,28554075582.256283
74,74,99.99999999999964,0.0,13.9,21930938531.157524
75,75,99.99999999999964,0.0,13.95,24674806136.47854
76,76,99.99999999999964,0.0,13.95,29273416447.67666
77,77,99.99999999999964,0.0,13.95,25921890902.234512
78,78,99.99999999999964,0.0,13.95,25694106150.30493
79,79,99.99999999999964,0.0,13.95,25605259636.344604
80,80,99.99999999999964,0.0,14.0,18998939998.90556
81,81,99.99999999999964,0.0,14.0,24941669091.695183
82,82,99.99999999999964,0.0,14.0,31855805560.656258
83,83,99.99999999999964,0.0,14.0,24641825729.865852
84,84,99.99999999999964,0.0,14.0,25575452949.051403
85,0,99.99999999999964,-80000.0,13.6,25689787380.98471
86,1,99.99999999999964,-80000.0,13.6,26597232608.861595
87,2,99.99999999999964,-80000.0,13.6,20493804073.09785
88,3,99.99999999999964,-80000.0,13.6,22561664177.818287
89,4,99.99999999999964,-80000.0,13.6,29469603476.462418
90,5,99.99999999999964,-70000.0,13.6,28447077067.026596
91,6,99.99999999999964,-70000.0,13.6,25763135548.382156
92,7,99.99999999999964,-70000.0,13.6,15956774184.39421
93,8,99.99999999999964,-70000.0,13.6,25986529689.11262
94,9,99.99999999999964,-70000.0,13.6,23184410906.129814
95,10,99.99999999999964,-60000.0,13.6,18748329111.998768
96,11,99.99999999999964,-60000.0,13.6,20649148542.34152
97,12,99.99999999999964,-60000.0,13.6,19493494682.59643
98,13,99.99999999999964,-60000.0,13.6,20082935933.63388
99,14,99.99999999999964,-60000.0,13.6,18626670521.32906
100,15,99.99999999999964,-50000.0,13.6,24715608553.945583
101,16,99.99999999999964,-50000.0,13.6,19756863005.084023
102,17,99.99999999999964,-50000.0,13.6,19661048765.462105
103,18,99.99999999999964,-50000.0,13.6,23001428465.83747
104,19,99.99999999999964,-50000.0,13.6,23219142357.041256
105,20,99.99999999999964,-40000.0,13.6,17080541786.538424
106,21,99.99999999999964,-40000.0,13.6,18252602144.43083
107,22,99.99999999999964,-40000.0,13.6,19755298210.900497
108,23,99.99999999999964,-40000.0,13.6,18976566454.609463
109,24,99.99999999999964,-40000.0,13.6,36265546718.90527
110,25,99.99999999999964,-30000.0,13.6,20582927161.13007
111,26,99.99999999999964,-30000.0,13.6,21580090203.84034
112,27,99.99999999999964,-30000.0,13.6,22174552832.411953
113,28,99.99999999999964,-30000.0,13.6,16625986308.50879
114,29,99.99999999999964,-30000.0,13.6,23241088340.32168
115,30,99.99999999999964,-20000.0,13.6,22150678508.28859
116,31,99.99999999999964,-20000.0,13.6,17572596098.986927
117,32,99.99999999999964,-20000.0,13.6,17838123082.380302
118,33,99.99999999999964,-20000.0,13.6,23458118226.790283
119,34,99.99999999999964,-20000.0,13.6,22525319007.964508
120,35,99.99999999999964,-10000.0,13.6,22423800040.596085
121,36,99.99999999999964,-10000.0,13.6,20406170037.25134
122,37,99.99999999999964,-10000.0,13.6,17827785588.00865
123,38,99.99999999999964,-10000.0,13.6,18498429183.11825
124,39,99.99999999999964,-10000.0,13.6,21634089606.24361
125,40,99.99999999999964,0.0,13.6,19108949364.79577
126,41,99.99999999999964,0.0,13.6,20980660717.616173
127,42,99.99999999999964,0.0,13.6,26570634068.926525
128,43,99.99999999999964,0.0,13.6,18841685150.608265
129,44,99.99999999999964,0.0,13.6,16982542886.22242
130,45,99.99999999999964,10000.0,13.6,26790986956.57345
131,46,99.99999999999964,10000.0,13.6,26078904807.469814
132,47,99.99999999999964,10000.0,13.6,19171445656.22755
133,48,99.99999999999964,10000.0,13.6,24631165867.263424
134,49,99.99999999999964,10000.0,13.6,23297800489.436893
135,50,99.99999999999964,20000.0,13.6,18019609279.36771
136,51,99.99999999999964,20000.0,13.6,20282234849.23514
137,52,99.99999999999964,20000.0,13.6,25193191876.561775
138,53,99.99999999999964,20000.0,13.6,17284315583.62517
139,54,99.99999999999964,20000.0,13.6,25686890013.307903
140,55,99.99999999999964,30000.0,13.6,24973772233.451004
