Wavelength[nm],Intensity[normalized],Phase[rad]
826.79,0.27300272,-0.13282316
827.23,0.28095740,-0.12112746
827.66,0.28583664,-0.11006674
828.09,0.28696766,-0.09842179
828.53,0.28646252,-0.08741477
828.96,0.28626357,-0.07729131
829.40,0.28475506,-0.06805288
829.83,0.27955039,-0.05945680
830.27,0.27022849,-0.05199282
830.70,0.25812130,-0.04541826
831.14,0.24650593,-0.03997872
831.57,0.23800767,-0.03543151
832.01,0.23183619,-0.03202221
832.44,0.22650057,-0.02999642
832.88,0.22171337,-0.02886730
833.31,0.21685041,-0.02936870
833.74,0.21124985,-0.03101379
834.18,0.20555423,-0.03893095
834.61,0.20054314,-0.04994778
835.05,0.19560188,-0.06235672
835.48,0.19069296,-0.07567091
835.92,0.18744223,-0.08989177
836.35,0.18635541,-0.10502072
836.78,0.18653381,-0.12081503
837.22,0.18705884,-0.13703196
837.65,0.18637320,-0.15367292
838.09,0.18332482,-0.17049518
838.52,0.17874808,-0.18750013
838.95,0.17400195,-0.20420088
839.39,0.16947200,-0.22108711
839.82,0.16497124,-0.23742778
840.26,0.16046261,-0.25346843
840.69,0.15657875,-0.26310692
841.12,0.15406254,-0.27195985
841.56,0.15245907,-0.28027276
841.99,0.14995462,-0.28804700
842.43,0.14513838,-0.29528395
842.86,0.13897691,-0.30222912
843.29,0.13374040,-0.30863973
843.73,0.12973262,-0.31476127
844.16,0.12471815,-0.32059511
844.59,0.11752097,-0.32589845
845.03,0.11041809,-0.33116093
845.46,0.10576709,-0.33613976
845.89,0.10258318,-0.34083627
846.33,0.09927942,-0.34525180
846.76,0.09586335,-0.34963185
847.19,0.09223594,-0.35373359
847.63,0.08864613,-0.35780250
848.06,0.08586794,-0.36183990
848.49,0.08399216,-0.36584713
848.93,0.08325968,-0.36982551
849.36,0.08332549,-0.37377635
849.79,0.08252429,-0.37770096
850.23,0.08000326,-0.38184480
850.66,0.07685412,-0.38620919
851.09,0.07482600,-0.39055128
851.53,0.07446148,-0.39511652
851.96,0.07508328,-0.39990621
852.39,0.07592165,-0.40516579
852.82,0.07658596,-0.41040826
853.26,0.07600917,-0.41612321
853.69,0.07330957,-0.42524161
854.12,0.07035221,-0.43507919
854.56,0.06899489,-0.44539310
854.99,0.06894587,-0.45569634
855.42,0.06935486,-0.46623432
855.85,0.06907283,-0.47700831
856.29,0.06792424,-0.48753131
856.72,0.06734318,-0.49804871
857.15,0.06813888,-0.50856180
857.59,0.06950430,-0.51858354
858.02,0.07069560,-0.52884762
858.45,0.07190437,-0.53837873
858.88,0.07355943,-0.54766640
859.32,0.07574196,-0.55671189
859.75,0.07844355,-0.56527229
860.18,0.08154079,-0.57212816
860.61,0.08384637,-0.57679244
861.04,0.08502876,-0.58097537
861.48,0.08719708,-0.58467818
861.91,0.09143611,-0.58765796
862.34,0.09598326,-0.59016008
862.77,0.09893115,-0.59194163
863.21,0.10033000,-0.59324797
863.64,0.10186482,-0.59383619
864.07,0.10510770,-0.59419577
864.50,0.10994903,-0.59359553
864.93,0.11451528,-0.59276908
865.37,0.11785931,-0.59122937
865.80,0.12134974,-0.58897759
866.23,0.12555148,-0.58625909
866.66,0.13036606,-0.58307508
867.09,0.13602460,-0.57845019
867.53,0.14151059,-0.57287390
867.96,0.14610852,-0.56659155
868.39,0.14995687,-0.56009260
868.82,0.15308019,-0.55288996
869.25,0.15554050,-0.54547310
869.68,0.15736431,-0.53759906
870.12,0.15926563,-0.52951317
870.55,0.16238270,-0.52097245
870.98,0.16630464,-0.51246637
871.41,0.16958201,-0.50350782
871.84,0.17257682,-0.49458624
872.27,0.17617261,-0.48521453
872.70,0.17956377,-0.47588212
873.14,0.18233881,-0.46634604
873.57,0.18497032,-0.45709573
874.00,0.18776329,-0.44862063
874.43,0.19079146,-0.44067775
874.86,0.19320300,-0.43302409
875.29,0.19406146,-0.42517254
875.72,0.19409052,-0.41736836
876.16,0.19490970,-0.40961272
876.59,0.19695335,-0.40166260
877.02,0.19926203,-0.39376328
877.45,0.20067251,-0.38591591
877.88,0.20117375,-0.37812161
878.31,0.20211843,-0.37013738
878.74,0.20345723,-0.36220848
879.17,0.20309080,-0.35409190
879.60,0.20101628,-0.34603289
880.03,0.20005127,-0.33803259
880.46,0.20152814,-0.32984797
880.90,0.20368071,-0.32172428
881.33,0.20415558,-0.31439506
881.76,0.20214117,-0.30664072
882.19,0.19849221,-0.29895064
882.62,0.19608208,-0.29108180
883.05,0.19819797,-0.28303528
883.48,0.20388992,-0.27505635
883.91,0.20903814,-0.26665780
884.34,0.21163271,-0.25808488
884.77,0.21190323,-0.24933868
885.20,0.21113317,-0.24017615
885.63,0.21150149,-0.23084252
886.06,0.21397418,-0.22109473
886.49,0.21766951,-0.21117802
886.92,0.22197780,-0.20084931
887.35,0.22658022,-0.19035383
887.78,0.23017746,-0.17920437
888.21,0.23264701,-0.16569303
888.64,0.23529806,-0.15152985
889.07,0.23771051,-0.13671591
889.50,0.23883804,-0.12174056
889.93,0.23875860,-0.10636071
890.36,0.23760792,-0.09106572
890.79,0.23710029,-0.07512422
891.22,0.24007800,-0.05926969
891.65,0.24591926,-0.04301490
892.08,0.25216190,-0.02684919
892.51,0.25821646,-0.01052946
892.94,0.26359096,0.00594323
893.37,0.26732292,0.02256784
893.80,0.26955152,0.03885505
894.23,0.27148807,0.05529209
894.66,0.27269462,0.07163379
895.09,0.27170814,0.08787910
895.52,0.27090061,0.10256216
895.95,0.27390894,0.11690263
896.38,0.27959798,0.13114363
896.81,0.28328076,0.14528412
897.24,0.28330136,0.15932308
897.67,0.28334890,0.17325949
898.10,0.28531328,0.18709232
898.53,0.28551223,0.20057643
898.96,0.28220148,0.21419907
899.39,0.27824568,0.22771508
899.82,0.27509499,0.24112347
900.25,0.27205903,0.25417906
900.68,0.26908595,0.26761329
901.11,0.26671359,0.28044859
901.53,0.26495920,0.29341636
901.96,0.26333624,0.30651562
902.39,0.26183798,0.31925708
902.82,0.26112747,0.33286044
903.25,0.26134312,0.34659230
903.68,0.26048034,0.36020752
904.11,0.25599218,0.37370511
904.54,0.24775171,0.38683993
904.97,0.23811053,0.40009930
905.40,0.23012106,0.41299393
905.83,0.22401284,0.42576699
906.25,0.21782668,0.43817337
906.68,0.21277585,0.45045622
907.11,0.21054090,0.46237043
907.54,0.20859351,0.47415916
907.97,0.20498970,0.48557731
908.40,0.20118808,0.49662390
908.83,0.19841040,0.50729798
909.25,0.19620288,0.51759857
909.68,0.19343989,0.52776885
910.11,0.18920900,0.53609888
910.54,0.18338850,0.54234355
910.97,0.17694231,0.54821091
911.40,0.17124536,0.55369998
911.83,0.16714908,0.55905397
912.25,0.16513647,0.56402778
912.68,0.16451975,0.56862046
913.11,0.16340666,0.57331935
913.54,0.16120252,0.57787936
913.97,0.15879181,0.58229955
914.40,0.15645936,0.58657899
914.82,0.15392623,0.59071672
915.25,0.15112378,0.59520010
915.68,0.14837164,0.59953992
916.11,0.14646230,0.60397938
916.54,0.14634276,0.60851755
916.96,0.14817808,0.61339764
917.39,0.15006420,0.61813045
917.82,0.14954247,0.62466818
918.25,0.14619672,0.63252162
918.68,0.14173832,0.64046915
919.10,0.13899795,0.64850986
919.53,0.13929195,0.65688696
919.96,0.14119693,0.66559955
920.39,0.14257339,0.67464671
920.81,0.14204458,0.68378339
921.24,0.13997816,0.69325282
921.67,0.13837704,0.70280995
922.10,0.13837024,0.71269803
922.52,0.13849945,0.72291614
922.95,0.13756049,0.73346339
923.38,0.13657725,0.74409474
923.81,0.13582818,0.75480929
924.23,0.13447798,0.76585029
924.66,0.13289644,0.77721684
925.09,0.13215082,0.78890806
925.52,0.13193256,0.80116719
925.94,0.13076279,0.81472576
926.37,0.12861912,0.82836220
926.80,0.12675348,0.84207561
927.23,0.12568005,0.85610925
927.65,0.12472515,0.86997397
928.08,0.12231403,0.88415716
928.51,0.11813210,0.89816968
928.93,0.11412834,0.91225477
929.36,0.11132105,0.92641158
929.79,0.10897736,0.94039509
930.21,0.10712998,0.95444857
930.64,0.10596379,0.96832702
931.07,0.10480429,0.98202956
931.50,0.10290376,0.99555534
931.92,0.10029650,1.00890349
932.35,0.09783275,1.02207316
932.78,0.09579589,1.03481934
933.20,0.09435435,1.04714118
933.63,0.09343608,1.05537571
934.06,0.09232975,1.06318420
934.48,0.09161678,1.07080992
934.91,0.09171467,1.07849618
935.34,0.09060799,1.08575384
935.76,0.08680654,1.09307034
936.19,0.08212587,1.10020070
936.62,0.07854544,1.10738821
937.04,0.07530533,1.11463203
937.47,0.07122868,1.12193132
937.89,0.06698693,1.12928525
938.32,0.06379422,1.13693713
938.75,0.06170654,1.14488611
939.17,0.06049056,1.15288723
939.60,0.06033473,1.16142794
940.03,0.06097121,1.17001913
940.45,0.06126785,1.17914825
940.88,0.06027632,1.18857034
941.30,0.05838513,1.20048184
941.73,0.05686889,1.21707919
942.16,0.05640569,1.23421119
942.58,0.05611916,1.25187701
943.01,0.05485325,1.26958756
943.43,0.05267512,1.28758617
943.86,0.05018631,1.30587202
944.29,0.04803728,1.32420015
944.71,0.04700509,1.34256977
945.14,0.04651690,1.36122420
945.56,0.04490614,1.37967436
945.99,0.04267866,1.39791943
946.41,0.04169502,1.41595862
946.84,0.04121123,1.43403527
947.26,0.03933545,1.45166030
947.69,0.03682755,1.46907704
948.12,0.03563969,1.48579643
948.54,0.03571068,1.50230594
948.97,0.03584913,1.51811650
949.39,0.03566073,1.53273905
949.82,0.03531224,1.54177825
950.24,0.03439964,1.55036028
950.67,0.03267151,1.55848434
951.09,0.03169308,1.56590552
951.52,0.03258785,1.57286716
951.94,0.03438959,1.57912435
952.37,0.03576143,1.58516459
952.79,0.03570755,1.59074295
953.22,0.03394937,1.59610281
953.64,0.03127182,1.60075510
954.07,0.02895354,1.60518733
954.49,0.02738249,1.60939874
954.92,0.02603254,1.61314440
955.34,0.02537913,1.61691183
955.77,0.02593103,1.62021198
956.19,0.02603100,1.62353237
956.62,0.02453182,1.62638394
957.04,0.02296516,1.62925423
957.47,0.02288909,1.63214247
957.89,0.02405685,1.63822172
958.32,0.02503799,1.64553810
958.74,0.02474369,1.65287016
959.17,0.02334518,1.65997299
959.59,0.02161286,1.66708999
960.02,0.02038548,1.67373211
960.44,0.02005706,1.67989862
960.87,0.01984882,1.68607703
961.29,0.01938686,1.69153419
961.71,0.01958862,1.69675763
962.14,0.02034095,1.70125831
962.56,0.02056085,1.70527965
962.99,0.01983260,1.70882089
963.41,0.01856951,1.71163716
963.84,0.01816476,1.71372771
964.26,0.01915796,1.71533596
964.68,0.01981187,1.71597287
965.11,0.01861856,1.71563773
965.53,0.01605818,1.71481808
965.96,0.01381453,1.71278076
966.38,0.01317746,1.70268911
966.80,0.01349939,1.68991349
967.23,0.01352856,1.67640630
967.65,0.01342977,1.66216682
968.08,0.01321513,1.64719432
968.50,0.01198879,1.63173222
968.92,0.01012943,1.61577980
969.35,0.00924639,1.59933633
969.77,0.01022689,1.58264525
970.20,0.01214706,1.56594997
970.62,0.01282676,1.54900564
971.04,0.01155403,1.53205569
971.47,0.00951102,1.51509940
971.89,0.00711173,1.49838021
972.31,0.00467147,1.48189739
972.74,0.00356226,1.46589439
973.16,0.00402609,1.45012636
973.58,0.00482043,1.43483674
974.01,0.00523168,1.42002481
974.43,0.00598014,1.40617816
974.85,0.00735383,1.40354999
975.28,0.00789466,1.41018648
975.70,0.00670335,1.41729787
976.12,0.00487406,1.42488346
976.55,0.00410034,1.43269841
976.97,0.00452333,1.44025375
977.39,0.00430275,1.44779292
977.82,0.00245610,1.45482696
978.24,0.00026087,1.46135517
978.66,-0.00116120,1.46713272
979.09,-0.00172613,1.47215893
979.51,-0.00134744,1.47570068
979.93,-0.00023206,1.47800144
980.36,0.00083849,1.47881638
980.78,0.00118334,1.47790068
981.20,0.00138678,1.47525365
981.62,0.00248095,1.47038633
982.05,0.00412850,1.46329806
982.47,0.00573119,1.45374400
982.89,0.00654585,1.44172349
983.31,0.00516085,1.42674756
983.74,0.00197394,1.37585657
984.16,-0.00031337,1.31883500
984.58,-0.00045443,1.25934428
985.00,-0.00009472,1.19762789
985.43,-0.00060938,1.13392930
985.85,-0.00167906,1.06873612
986.27,-0.00223234,1.00253598
986.69,-0.00151849,0.93532821
987.12,-0.00026732,0.86760043
987.54,0.00000088,0.79959611
987.96,-0.00062277,0.73155874
988.38,-0.00036624,0.66397594
988.81,0.00069099,0.59709120
989.23,0.00095395,0.53114800
989.65,0.00069299,0.46663396
990.07,0.00061226,0.40354844
990.49,0.00023475,0.34262319
990.92,-0.00035669,0.28361344
991.34,-0.00084988,0.22749510
991.76,-0.00167047,0.17426751
992.18,-0.00248431,0.12393003
992.60,-0.00295681,0.11261483
993.03,-0.00352192,0.11126852
993.45,-0.00387457,0.11305453
993.87,-0.00371057,0.11772808
994.29,-0.00325419,0.12504438
994.71,-0.00247056,0.13500279
995.13,-0.00128800,0.14711439
995.56,-0.00009151,0.16113441
995.98,0.00008317,0.17681807
996.40,-0.00118224,0.19416474
996.82,-0.00260814,0.21268550
997.24,-0.00251186,0.23237971
997.66,-0.00039742,0.25251434
998.09,0.00263896,0.27333287
998.51,0.00494016,0.29459056
998.93,0.00561254,0.31579849
999.35,0.00471544,0.33695603
999.77,0.00298640,0.35757428
1000.19,0.00136095,0.37740847
1000.61,0.00032189,0.39645798
1001.04,-0.00034907,0.41447805
1001.46,-0.00108507,0.42756181
1001.88,-0.00156607,0.43326724
1002.30,-0.00102532,0.43745308
1002.72,-0.00028756,0.43963045
1003.14,-0.00111477,0.43979873
1003.56,-0.00293814,0.43795731
1003.98,-0.00352931,0.43386142
1004.40,-0.00244350,0.42751046
1004.82,-0.00127391,0.41890382
1005.25,-0.00125055,0.40755262
1005.67,-0.00203821,0.39345623
1006.09,-0.00225715,0.37661405
1006.51,-0.00119451,0.35702548
1006.93,-0.00024055,0.33420163
1007.35,-0.00072119,0.30814190
1007.77,-0.00168507,0.27908982
1008.19,-0.00187546,0.24631238
1008.61,-0.00148296,0.21029725
1009.03,-0.00115665,0.17031141
1009.45,-0.00136861,0.12684255
1009.87,-0.00263199,0.07940179
1010.29,-0.00416334,0.02798853
1010.71,-0.00476297,-0.03228063
1011.13,-0.00495748,-0.10287114
1011.55,-0.00445450,-0.17768006
1011.97,-0.00265757,-0.25646385
1012.39,-0.00150425,-0.33971138
1012.81,-0.00194304,-0.42669082
1013.23,-0.00238837,-0.51813517
1013.65,-0.00222172,-0.61355674
1014.08,-0.00245952,-0.71320026
1014.50,-0.00376295,-0.81706632
1014.92,-0.00557510,-0.92491134
1015.34,-0.00677713,-1.03673593
1015.76,-0.00704022,-1.15278479
1016.18,-0.00697319,-1.27281437
1016.60,-0.00639128,-1.39682524
1017.01,-0.00500085,-1.52506213
1017.43,-0.00392291,-1.65728147
1017.85,-0.00362087,-1.79348384
1018.27,-0.00326955,-1.93366981
1018.69,-0.00252106,-2.07808409
1019.11,-0.00173782,-2.22623898
1019.53,-0.00132288,-2.37837919
1019.95,-0.00183237,-2.53450529
