Wavelength[nm],Intensity[normalized],Phase[rad]
536.17,0.10475982,0.17121534
536.62,0.10804649,0.18550068
537.08,0.11112575,0.20401862
537.53,0.11262037,0.22626947
537.99,0.11213564,0.25273012
538.44,0.11093525,0.28387754
538.90,0.11052036,0.31896801
539.35,0.11136357,0.36214069
539.81,0.11342392,0.40972228
540.26,0.11492275,0.46072509
540.72,0.11422665,0.51513800
541.17,0.11248456,0.57197342
541.62,0.11132015,0.63048791
542.08,0.11200217,0.69115878
542.53,0.11488315,0.75226615
542.99,0.11816402,0.81379914
543.44,0.12042771,0.87452622
543.90,0.12199760,0.93394833
544.35,0.12367851,0.99181058
544.80,0.12645880,1.04663745
545.26,0.13025022,1.09841827
545.71,0.13348943,1.14689831
546.17,0.13535977,1.19109043
546.62,0.13670736,1.23073997
547.08,0.13888967,1.26461575
547.53,0.14217928,1.28733624
547.98,0.14615318,1.30548284
548.44,0.15032760,1.31880107
548.89,0.15363366,1.32801302
549.35,0.15620787,1.33359671
549.80,0.15970884,1.33529778
550.25,0.16374003,1.33115292
550.71,0.16566580,1.32579064
551.16,0.16521493,1.31944499
551.62,0.16481242,1.31405902
552.07,0.16541938,1.31035514
552.52,0.16643347,1.30954407
552.98,0.16766752,1.31332484
553.43,0.16925385,1.32168755
553.88,0.17121192,1.33633132
554.34,0.17353871,1.35773461
554.79,0.17643952,1.38686419
555.25,0.17933016,1.42493101
555.70,0.18054191,1.48291171
556.15,0.17987466,1.55200755
556.61,0.17835876,1.62927920
557.06,0.17591462,1.71398465
557.51,0.17357484,1.80538193
557.97,0.17379504,1.90199667
558.42,0.17655520,2.01138775
558.87,0.17961952,2.12793050
559.33,0.18072638,2.24429129
559.78,0.17879395,2.35728692
560.23,0.17549416,2.46446666
560.69,0.17352722,2.56289153
561.14,0.17399664,2.64937843
561.59,0.17585966,2.72074432
562.05,0.17688206,2.77527102
562.50,0.17738640,2.80928728
562.95,0.17903821,2.82107500
563.41,0.18057549,2.80720713
563.86,0.18050927,2.76498908
564.31,0.17954581,2.67292746
564.76,0.17903071,2.54907971
565.22,0.17964231,2.39441346
565.67,0.18071348,2.20940808
566.12,0.18111315,1.99429884
566.58,0.18065610,1.74907691
567.03,0.18029335,1.45908504
567.48,0.18073313,1.12822073
567.93,0.18219212,0.77405337
568.39,0.18460348,0.40145706
568.84,0.18636480,0.01408526
569.29,0.18686395,-0.38318786
569.75,0.18756365,-0.78622051
570.20,0.18868154,-1.19062671
570.65,0.19008090,-1.59202048
571.10,0.19230591,-1.98625991
571.56,0.19543363,-2.36920310
572.01,0.19954937,-2.73621980
572.46,0.20447477,-3.08316802
572.91,0.20964886,-3.39662840
573.37,0.21428018,-3.67123819
573.82,0.21694532,-3.91701545
574.27,0.21764656,-4.13274777
574.72,0.21861837,-4.31673440
575.18,0.22075480,-4.46776285
575.63,0.22247275,-4.58413231
576.08,0.22272777,-4.64094861
576.53,0.22283405,-4.65799523
576.98,0.22457172,-4.64358106
577.44,0.22777733,-4.59991142
577.89,0.23096970,-4.52992402
578.34,0.23340570,-4.43582413
578.79,0.23649587,-4.32006113
579.25,0.24210568,-4.18459606
579.70,0.24895245,-4.03309896
580.15,0.25352247,-3.86777496
580.60,0.25477942,-3.69156161
581.05,0.25507446,-3.50739639
581.51,0.25655656,-3.31797267
581.96,0.25878934,-3.12866928
582.41,0.26004878,-2.94608575
582.86,0.26028300,-2.76437042
583.31,0.26091714,-2.58475166
583.76,0.26201798,-2.40870196
584.22,0.26307059,-2.23744963
584.67,0.26465798,-2.07271126
585.12,0.26642795,-1.92059792
585.57,0.26671353,-1.78307026
586.02,0.26504043,-1.65403227
586.47,0.26259515,-1.53324730
586.93,0.26080914,-1.42023450
587.38,0.26039189,-1.31524543
587.83,0.26066425,-1.21804336
588.28,0.25991545,-1.12912393
588.73,0.25775100,-1.04825033
589.18,0.25532703,-0.97469747
589.63,0.25339421,-0.90822847
590.09,0.25232296,-0.84885061
590.54,0.25190553,-0.79681524
590.99,0.25123371,-0.75090889
591.44,0.24938338,-0.71235942
591.89,0.24584738,-0.68092985
592.34,0.24184949,-0.65540661
592.79,0.23931533,-0.63506436
593.25,0.23882471,-0.61966605
593.70,0.23984995,-0.60897458
594.15,0.24154923,-0.60226456
594.60,0.24328391,-0.59978712
595.05,0.24434358,-0.60130509
595.50,0.24458207,-0.60584886
595.95,0.24532570,-0.61196051
596.40,0.24748363,-0.61989106
596.85,0.25010228,-0.62867084
597.30,0.25217032,-0.63757426
597.76,0.25399021,-0.64611987
598.21,0.25608458,-0.65284961
598.66,0.25804864,-0.65825855
599.11,0.25979745,-0.66186515
599.56,0.26276141,-0.66343199
600.01,0.26755718,-0.66247749
600.46,0.27309657,-0.65852004
600.91,0.27869056,-0.65083388
601.36,0.28328055,-0.63454281
601.81,0.28573809,-0.61380384
602.26,0.28748636,-0.58960011
602.71,0.29061841,-0.56218231
603.16,0.29519153,-0.53155697
603.61,0.30028266,-0.49773061
604.06,0.30582001,-0.46119800
604.51,0.31225449,-0.42098903
604.97,0.31871664,-0.37759843
605.42,0.32352519,-0.33249745
605.87,0.32730840,-0.28569250
606.32,0.33229643,-0.23767822
606.77,0.33829630,-0.18870511
607.22,0.34376367,-0.13951191
607.67,0.34858289,-0.09059321
608.12,0.35213464,-0.04244358
608.57,0.35308974,0.00493073
609.02,0.35224735,0.05152348
609.47,0.35153385,0.09708432
609.92,0.35145225,0.14087461
610.37,0.35116432,0.18337649
610.82,0.34991408,0.22360723
611.27,0.34792549,0.26009585
611.72,0.34594330,0.29332455
612.17,0.34410526,0.32426378
612.62,0.34167045,0.35266335
613.07,0.33845718,0.37876135
613.52,0.33531084,0.40230763
613.97,0.33231947,0.42329617
614.42,0.32886700,0.44147686
614.87,0.32558178,0.45708789
615.32,0.32284352,0.46987916
615.77,0.31918994,0.48033305
616.22,0.31401765,0.48819952
616.67,0.30819181,0.49347269
617.12,0.30236267,0.49614670
617.56,0.29664460,0.49645986
618.01,0.29067280,0.49342979
618.46,0.28444943,0.48705069
618.91,0.27840090,0.47853750
619.36,0.27268227,0.46764032
619.81,0.26743838,0.45484168
620.26,0.26335752,0.44038003
620.71,0.26116547,0.42449379
621.16,0.26040355,0.40693316
621.61,0.26031065,0.38744833
622.06,0.26049325,0.36676610
622.51,0.25955545,0.34536912
622.96,0.25618914,0.32325179
623.41,0.25158493,0.30138511
623.86,0.24796532,0.27927521
624.30,0.24573418,0.25740486
624.75,0.24375524,0.23674507
625.20,0.24178014,0.21729036
625.65,0.24147469,0.19976766
626.10,0.24317340,0.18343908
626.55,0.24467453,0.16854331
627.00,0.24514625,0.15531906
627.45,0.24548595,0.14400507
627.90,0.24623934,0.13459595
628.35,0.24777268,0.12708631
628.79,0.25018369,0.12440049
629.24,0.25318444,0.12458002
629.69,0.25633614,0.12713132
630.14,0.25889945,0.13131664
630.59,0.26130123,0.13761900
631.04,0.26498377,0.14554484
631.49,0.26996777,0.15484478
631.94,0.27493526,0.16600186
632.38,0.27840139,0.17827845
632.83,0.28019961,0.19191350
633.28,0.28222610,0.20665769
633.73,0.28576199,0.22177343
634.18,0.28907689,0.23774387
634.63,0.29057291,0.25407559
635.08,0.29145294,0.27051935
635.52,0.29254222,0.28682592
635.97,0.29354995,0.30250194
636.42,0.29511124,0.31680993
636.87,0.29695663,0.33096555
637.32,0.29728141,0.34471964
637.77,0.29526557,0.35806719
638.21,0.29083646,0.37075907
638.66,0.28488502,0.38327859
639.11,0.28071134,0.39513251
639.56,0.27998296,0.40607174
640.01,0.27938348,0.41560309
640.45,0.27574547,0.42445406
640.90,0.27040105,0.43310804
641.35,0.26583064,0.44107189
641.80,0.26213993,0.44858487
642.25,0.25822195,0.45564214
642.69,0.25360802,0.46248303
643.14,0.24903580,0.46885856
643.59,0.24578414,0.47525224
644.04,0.24354590,0.48141514
644.49,0.24067332,0.48758664
644.93,0.23667392,0.49327370
645.38,0.23213295,0.49895987
645.83,0.22715017,0.50439630
646.28,0.22196372,0.50957829
646.72,0.21755302,0.51450114
647.17,0.21413092,0.51940433
647.62,0.21160392,0.52477148
648.07,0.21038226,0.52937724
648.51,0.20973408,0.53419356
648.96,0.20835310,0.53897168
649.41,0.20628922,0.54321873
649.86,0.20455047,0.54766254
650.30,0.20343813,0.55156614
650.75,0.20232336,0.55541324
651.20,0.20090815,0.55919931
651.65,0.19920473,0.56267569
652.09,0.19704707,0.56559373
652.54,0.19476301,0.56868137
652.99,0.19349898,0.57144584
653.43,0.19350556,0.57388268
653.88,0.19353762,0.57623158
654.33,0.19356934,0.57799982
654.78,0.19526262,0.57967127
655.22,0.19913925,0.58075324
655.67,0.20328761,0.58148547
656.12,0.20508035,0.58186360
656.56,0.20446792,0.58212739
657.01,0.20374890,0.58227250
657.46,0.20413153,0.58205044
657.90,0.20512703,0.58218933
658.35,0.20579428,0.58170829
658.80,0.20590928,0.58157958
659.25,0.20629015,0.58131065
659.69,0.20739360,0.58114137
660.14,0.20858240,0.58082334
660.59,0.20923062,0.58059647
661.03,0.20951261,0.58045653
661.48,0.20980154,0.58064345
661.93,0.20960789,0.58090889
662.37,0.20836650,0.58124866
662.82,0.20765375,0.58214686
663.27,0.20887696,0.58335521
663.71,0.21040388,0.58486955
664.16,0.21054072,0.58668575
664.60,0.20871157,0.58879970
665.05,0.20432586,0.59096313
665.50,0.19875067,0.59366024
665.94,0.19505108,0.59664281
666.39,0.19378561,0.59990677
666.84,0.19291101,0.60369220
667.28,0.19153195,0.60775093
667.73,0.18972675,0.61232305
668.17,0.18815652,0.61691628
668.62,0.18788689,0.62201488
669.07,0.18809742,0.62761487
669.51,0.18738757,0.63322399
669.96,0.18519944,0.63908241
670.41,0.18154143,0.64543031
670.85,0.17769100,0.65226375
671.30,0.17557538,0.65982294
671.74,0.17549147,0.66737155
672.19,0.17595884,0.67514980
672.64,0.17634929,0.68315381
673.08,0.17689659,0.69137969
673.53,0.17740727,0.69957943
673.97,0.17766197,0.70750504
674.42,0.17796049,0.71564094
674.86,0.17864793,0.72373917
675.31,0.17926937,0.73179591
675.76,0.17937025,0.73956320
676.20,0.17907847,0.74728139
676.65,0.17894966,0.75470255
677.09,0.17968359,0.76133462
677.54,0.18114848,0.76766212
677.98,0.18240726,0.77343717
678.43,0.18321128,0.77841188
678.87,0.18519850,0.78258251
679.32,0.18963513,0.78570123
679.77,0.19480775,0.78727603
680.21,0.19840497,0.78827979
680.66,0.19995153,0.78822055
681.10,0.20066464,0.78733876
681.55,0.20228580,0.78563078
681.99,0.20547373,0.78309296
682.44,0.20986588,0.77947751
682.88,0.21420550,0.77526909
683.33,0.21701078,0.76997581
683.77,0.21836547,0.76237335
684.22,0.21961900,0.75441125
684.66,0.22196719,0.74535351
685.11,0.22547949,0.73568483
685.55,0.22901425,0.72564579
686.00,0.23176909,0.71498871
686.44,0.23360998,0.70395419
686.89,0.23452040,0.69229455
687.33,0.23512922,0.68049456
687.78,0.23593201,0.66903899
688.22,0.23659847,0.65743607
688.67,0.23683842,0.64568231
689.11,0.23700252,0.63401838
689.56,0.23740490,0.62219667
690.00,0.23757658,0.61070201
690.45,0.23739895,0.59879854
690.89,0.23779126,0.58745937
691.34,0.23872564,0.57594867
691.78,0.23872800,0.56475131
692.22,0.23822687,0.55459630
692.67,0.23876760,0.54450369
693.11,0.23967508,0.53471424
693.56,0.24026818,0.52546871
694.00,0.24128836,0.51627547
694.45,0.24275665,0.50713117
694.89,0.24330007,0.49827659
695.34,0.24232041,0.48946427
695.78,0.24062982,0.48117917
696.22,0.23873025,0.47292970
696.67,0.23713027,0.46471255
697.11,0.23647949,0.45676857
697.56,0.23670074,0.44885034
698.00,0.23777641,0.44119872
698.44,0.24012713,0.43356632
698.89,0.24328015,0.42619402
699.33,0.24667980,0.41907857
699.78,0.24992291,0.41197261
700.22,0.25151324,0.40487290
700.67,0.25198516,0.39777624
701.11,0.25420921,0.39067942
701.55,0.25862334,0.38382338
702.00,0.26334223,0.37696079
702.44,0.26747843,0.37008848
702.88,0.27161877,0.36344743
703.33,0.27551347,0.35679033
703.77,0.27739896,0.35035817
704.22,0.27728406,0.34390368
704.66,0.27722185,0.33766786
705.10,0.27843896,0.33140345
705.55,0.28042922,0.32583977
705.99,0.28184230,0.32097371
706.43,0.28267834,0.31606975
706.88,0.28393921,0.31112481
707.32,0.28592173,0.30589167
707.76,0.28857012,0.30061141
708.21,0.29095696,0.29503683
708.65,0.29102939,0.28916487
709.09,0.28856732,0.28323665
709.54,0.28657606,0.27676085
709.98,0.28751746,0.27046686
710.42,0.29079654,0.26459582
710.87,0.29433416,0.25767987
711.31,0.29535436,0.25044844
711.75,0.29193844,0.24192199
712.20,0.28606445,0.23234167
712.64,0.28088696,0.22170452
713.08,0.27623739,0.20951928
713.53,0.27112045,0.19578302
713.97,0.26643424,0.18049278
714.41,0.26291659,0.16340149
714.86,0.25990412,0.13864684
715.30,0.25682464,0.11208530
715.74,0.25426845,0.08371395
716.18,0.25278455,0.05401817
716.63,0.25145742,0.02299507
717.07,0.24906735,-0.00911410
717.51,0.24542034,-0.04206807
717.96,0.24133676,-0.07611386
718.40,0.23907766,-0.11076604
718.84,0.23930061,-0.14578332
719.28,0.23933760,-0.18336581
719.73,0.23831918,-0.22473706
720.17,0.23796302,-0.26550536
720.61,0.23892329,-0.30542938
721.05,0.24083390,-0.34402367
721.50,0.24267823,-0.38055859
721.94,0.24307056,-0.41454867
722.38,0.24218861,-0.44599669
722.82,0.24171867,-0.47368473
723.27,0.24300496,-0.49785970
723.71,0.24585901,-0.51754781
724.15,0.24839717,-0.52249790
724.59,0.24873342,-0.51808381
725.04,0.24702329,-0.50919110
725.48,0.24457173,-0.49606665
725.92,0.24236773,-0.47871317
726.36,0.24141125,-0.45762166
726.80,0.24138150,-0.43328312
727.25,0.24049689,-0.40570024
727.69,0.23846213,-0.37511987
728.13,0.23640781,-0.34178883
728.57,0.23484017,-0.30595393
729.01,0.23371725,-0.25956122
729.46,0.23319714,-0.20969343
729.90,0.23351350,-0.15928290
730.34,0.23476467,-0.10906471
730.78,0.23608879,-0.05928564
731.22,0.23581312,-0.01141317
731.67,0.23476916,0.03381766
732.11,0.23556757,0.07616008
732.55,0.23790565,0.11439079
732.99,0.23966015,0.14801889
733.43,0.23950924,0.17582108
733.87,0.23676479,0.17924008
734.32,0.23200298,0.17145691
734.76,0.22654142,0.15784009
735.20,0.22158003,0.13887532
735.64,0.21793629,0.11431591
736.08,0.21494053,0.08489173
736.52,0.21150720,0.05084436
736.97,0.20787928,0.01265954
737.41,0.20464504,-0.02942110
737.85,0.20163132,-0.07515597
738.29,0.19835503,-0.12405930
738.73,0.19445138,-0.18101640
739.17,0.18994522,-0.24383253
739.61,0.18502558,-0.30787150
740.05,0.17991234,-0.37313582
740.50,0.17558505,-0.43816311
740.94,0.17274752,-0.50271171
741.38,0.17066095,-0.56580754
741.82,0.16890845,-0.62672064
742.26,0.16887547,-0.68472103
742.70,0.17155109,-0.73907876
743.14,0.17520653,-0.78930797
743.58,0.17775150,-0.82857517
744.02,0.17851272,-0.84736131
744.46,0.17668636,-0.86056139
744.91,0.17250375,-0.86842195
745.35,0.16840731,-0.87143370
745.79,0.16695290,-0.86935490
746.23,0.16934497,-0.86292037
746.67,0.17429638,-0.85213249
747.11,0.17816938,-0.83674951
747.55,0.17793062,-0.81750623
747.99,0.17399946,-0.79440502
748.43,0.17104620,-0.76793652
748.87,0.17422569,-0.73517341
749.31,0.18268468,-0.69807116
749.75,0.18892643,-0.65858524
750.19,0.18650842,-0.61671798
750.63,0.17828078,-0.57271587
751.07,0.17565443,-0.52731365
751.51,0.18707703,-0.48075778
751.96,0.20767883,-0.43329471
752.40,0.22295561,-0.38517090
752.84,0.22220943,-0.33736520
753.28,0.20861737,-0.28963576
