,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
0,206.961,447.3961038961039,6.14163863151478
1,207.342,442.06493506493507,5.962736368126927
2,207.723,442.8181818181818,6.012383914104164
3,208.105,447.03246753246754,6.241273212564956
4,208.486,444.8181818181818,6.350636071481084
5,208.868,443.90909090909093,6.258877992021276
6,209.249,448.3961038961039,5.660777367534432
7,209.631,449.2142857142857,6.2230867666601215
8,210.012,447.27272727272725,6.869160071977577
9,210.394,452.35714285714283,6.244663770209606
10,210.776,450.4025974025974,6.673770600846308
11,211.158,452.03246753246754,6.076801567264384
12,211.539,456.5844155844156,6.438219180557614
13,211.921,453.56493506493507,7.015683103687604
14,212.303,450.37012987012986,7.241610729468932
15,212.685,452.5064935064935,6.2202504994519225
16,213.067,450.9025974025974,6.179952381314754
17,213.449,449.8766233766234,5.880109463242436
18,213.831,451.3961038961039,6.255822047956539
19,214.213,446.4220779220779,7.516892204196665
20,214.596,446.65584415584414,6.219345468265507
21,214.978,447.2402597402597,6.2585579796374065
22,215.36,448.1623376623377,6.186989679042756
23,215.742,445.72727272727275,5.676646997428328
24,216.125,446.8376623376623,7.203418001127743
25,216.507,444.8376623376623,5.883579151013766
26,216.89,446.7077922077922,5.956471243203316
27,217.272,444.87012987012986,7.449136007340777
28,217.655,443.5064935064935,6.636427173305018
29,218.037,445.26623376623377,6.049624017288031
30,218.42,444.0974025974026,6.107021167411655
31,218.803,444.84415584415586,6.939562722600565
32,219.186,445.59090909090907,7.098210526607903
33,219.568,444.9025974025974,6.023513968293506
34,219.951,446.93506493506493,6.338580410404221
35,220.334,447.83116883116884,6.615414108628338
36,220.717,449.1038961038961,6.729629031253985
37,221.1,447.7077922077922,6.7985152357972805
38,221.483,448.9025974025974,5.888321570349006
39,221.866,450.31168831168833,7.1962467494850255
40,222.249,451.45454545454544,6.915154550386137
41,222.633,451.59090909090907,6.19238497197051
42,223.016,452.4805194805195,6.8302428882110915
43,223.399,452.4805194805195,6.7863698185816235
44,223.782,453.7402597402597,6.7283131121502135
45,224.166,453.02597402597405,6.219938668370159
46,224.549,450.2207792207792,6.658893821445307
47,224.933,449.6753246753247,6.975730764570885
48,225.316,450.0584415584416,6.934046449848922
49,225.7,448.7597402597403,6.868954432624387
50,226.083,448.2792207792208,5.379731989228821
51,226.467,449.14285714285717,6.85795449741997
52,226.851,447.3376623376623,6.980697672144257
53,227.235,447.97402597402595,7.090278740832543
54,227.618,446.9155844155844,6.060250839930146
55,228.002,445.90909090909093,6.476093535862653
56,228.386,445.7597402597403,6.514773615192658
57,228.77,446.3051948051948,6.307414645281011
58,229.154,445.512987012987,6.618781828700446
59,229.538,470.012987012987,6.51669884259094
60,229.922,448.0194805194805,6.78469513256331
